         395618 function calls (373509 primitive calls) in 1.928 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      183    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      183    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      181    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      181    0.001    0.000    0.097    0.001 _parser.py:969(parse)
      181    0.001    0.000    0.011    0.000 _compiler.py:511(_compile_info)
      181    0.001    0.000    0.159    0.001 _compiler.py:740(compile)
      181    0.000    0.000    0.060    0.000 _compiler.py:573(_code)
      181    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
      181    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      181    0.000    0.000    0.000    0.000 _parser.py:231(__init__)
      172    0.000    0.000    0.413    0.002 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
  167/101    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
      167    0.000    0.000    0.011    0.000 _parser.py:98(closegroup)
      167    0.000    0.000    0.000    0.000 _parser.py:86(opengroup)
      163    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
      160    0.000    0.000    0.383    0.002 <frozen importlib._bootstrap_external>:159(_path_isfile)
    156/2    0.002    0.000    1.928    0.964 <frozen importlib._bootstrap>:1349(_find_and_load)
    156/2    0.001    0.000    1.928    0.964 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      156    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
      156    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:416(__enter__)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
      155    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      154    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
      154    0.002    0.000    0.849    0.006 <frozen importlib._bootstrap>:1240(_find_spec)
      154    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      152    0.000    0.000    0.002    0.000 typing.py:1147(__init__)
      148    0.001    0.000    0.005    0.000 typing.py:1242(__init__)
      145    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
  142/137    0.000    0.000    0.004    0.000 css_parser.py:395(freeze)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
      142    0.000    0.000    0.003    0.000 css_types.py:203(__init__)
      139    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      138    0.000    0.000    0.845    0.006 <frozen importlib._bootstrap_external>:1520(find_spec)
      138    0.001    0.000    0.845    0.006 <frozen importlib._bootstrap_external>:1491(_get_spec)
    137/2    0.001    0.000    1.882    0.941 <frozen importlib._bootstrap>:911(_load_unlocked)
