Sun Sep 21 13:01:59 2025    profilingResults.cprof

         412328 function calls (412239 primitive calls) in 9.649 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      314    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      314    0.000    0.000    0.001    0.000 {method '_checkReadable' of '_io._IOBase' objects}
     2426    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
       53    0.000    0.000    1.547    0.029 {method 'readline' of '_io.BufferedReader' objects}
       40    0.000    0.000    1.772    0.044 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/response.py:1180(_handle_chunk)
      126    0.000    0.000    0.003    0.000 /usr/lib/python3.12/_markupbase.py:165(parse_comment)
        1    0.000    0.000    0.001    0.001 /usr/lib/python3.12/email/parser.py:56(parsestr)
     2400    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/element.py:2228(__bool__)
       61    0.000    0.000    1.772    0.029 /usr/lib/python3.12/http/client.py:633(_safe_read)
      126    0.000    0.000    0.002    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:285(handle_comment)
      315    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:732(readable)
       40    0.000    0.000    0.014    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/response.py:494(_decode)
        1    0.000    0.000    0.000    0.000 {function socket.close at 0x74390a7c2700}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/ssl.py:1309(_real_close)
      163    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        8    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       57    0.000    0.000    0.001    0.000 /usr/lib/python3.12/re/__init__.py:280(_compile)
       41    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/response.py:1162(_update_chunk_length)
       28    0.000    0.000    0.000    0.000 /usr/lib/python3.12/urllib/parse.py:374(urlparse)
        8    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/socket.py:221(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
        1    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
    42/10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
      316    0.000    0.000    0.000    0.000 {method '__exit__' of 'memoryview' objects}
        7    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/requests/sessions.py:61(merge_setting)
      3/1    0.000    0.000    9.649    9.649 {built-in method builtins.exec}
       28    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/_collections.py:300(add)
       57    0.000    0.000    0.001    0.000 /usr/lib/python3.12/html/parser.py:124(set_cdata_mode)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.12/threading.py:124(RLock)
        1    0.000    0.000    0.329    0.329 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/__init__.py:211(__init__)
      630    0.000    0.000    0.000    0.000 /usr/lib/python3.12/ssl.py:1083(_checkClosed)
       41    0.000    0.000    1.792    0.044 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/requests/models.py:816(generate)
        2    0.000    0.000    0.000    0.000 {built-in method _io.open_code}
      153    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/http/cookiejar.py:466(parse_ns_headers)
        1    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/util/response.py:40(assert_header_parsing)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_parser.py:512(_parse)
      6/2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/re/_compiler.py:37(_compile)
        1    0.000    0.000    0.634    0.634 /usr/lib/python3.12/http/client.py:213(_read_headers)
        4    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/filter.py:379(__init__)
       59    0.000    0.000    0.002    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:127(handle_startendtag)
       11    0.000    0.000    0.001    0.000 {method 'decode' of 'bytearray' objects}
        3    0.000    0.000    0.000    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/util/url.py:227(_encode_invalid_chars)
        1    0.000    0.000    0.000    0.000 {method '_wrap_socket' of '_ssl._SSLContext' objects}
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.12/email/feedparser.py:469(_parse_headers)
  112/110    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.735    0.735 /usr/lib/python3.12/ssl.py:956(_create)
        2    0.000    0.000    0.000    0.000 /usr/lib/python3.12/urllib/parse.py:469(urlsplit)
        9    0.000    0.000    0.001    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:226(handle_charref)
        1    0.000    0.000    4.281    4.281 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/requests/sessions.py:673(send)
       32    0.000    0.000    0.000    0.000 /usr/lib/python3.12/urllib/parse.py:119(_coerce_args)
        1    0.000    0.000    0.926    0.926 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/connection.py:718(connect)
       41    0.000    0.000    1.791    0.044 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/response.py:1069(stream)
