         395630 function calls (373519 primitive calls) in 0.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
      666    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
       74    0.000    0.000    0.001    0.000 typing.py:1458(copy_with)
  167/101    0.000    0.000    0.000    0.000 typing.py:1573(__hash__)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
       12    0.000    0.000    0.015    0.001 <frozen importlib._bootstrap_external>:1685(path_hook_for_FileFinder)
       41    0.000    0.000    0.000    0.000 functools.py:518(decorating_function)
       14    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       74    0.000    0.000    0.000    0.000 typing.py:262(_collect_parameters)
      362    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      942    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      431    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
        1    0.000    0.000    0.388    0.388 element.py:1(<module>)
      587    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
       34    0.000    0.000    0.000    0.000 ipaddress.py:1651(_ip_int_from_string)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:982(find_spec)
       12    0.000    0.000    0.015    0.001 <frozen zipimport>:64(__init__)
  267/174    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
      228    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      366    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
    44/32    0.000    0.000    0.008    0.000 css_parser.py:579(parse_pseudo_class)
       12    0.000    0.000    0.030    0.003 <frozen importlib._bootstrap_external>:1456(_path_hooks)
      139    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
       62    0.000    0.000    0.000    0.000 _status_codes.py:28(__new__)
      120    0.000    0.000    0.000    0.000 enum.py:785(__delattr__)
      181    0.000    0.000    0.000    0.000 _parser.py:953(fix_flags)
      366    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
        1    0.000    0.000    0.001    0.001 ipaddress.py:1(<module>)
    48/37    0.000    0.000    0.163    0.004 <frozen importlib._bootstrap>:1390(_handle_fromlist)
        2    0.000    0.000    0.010    0.005 utils.py:1(<module>)
        1    0.000    0.000    0.016    0.016 pathlib.py:1(<module>)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:180(_path_isabs)
      106    0.000    0.000    0.000    0.000 enum.py:820(<genexpr>)
        1    0.000    0.000    0.000    0.000 quoprimime.py:1(<module>)
      198    0.000    0.000    0.001    0.000 typing.py:723(<genexpr>)
  142/137    0.000    0.000    0.001    0.000 css_parser.py:385(_freeze_relations)
    40/31    0.000    0.000    0.008    0.000 css_parser.py:746(parse_pseudo_open)
      167    0.000    0.000    0.005    0.000 _parser.py:98(closegroup)
       15    0.000    0.000    0.000    0.000 typing.py:1096(_generic_init_subclass)
        1    0.000    0.000    0.221    0.221 _models.py:1(<module>)
      155    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
        1    0.000    0.000    0.031    0.031 request.py:1(<module>)
      183    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
       79    0.000    0.000    0.000    0.000 css_types.py:267(__init__)
      348    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
       85    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
       12    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1567(__init__)
      133    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_abspath)
        2    0.000    0.000    0.001    0.000 typing.py:2780(__new__)
      113    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
      360    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
       88    0.000    0.000    0.000    0.000 ipaddress.py:1213(_parse_octet)
        1    0.000    0.000    0.049    0.049 _multipart.py:1(<module>)
        1    0.000    0.000    0.004    0.004 ssl.py:1(<module>)
       34    0.000    0.000    0.000    0.000 ipaddress.py:2238(__init__)
      154    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
      183    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
        7    0.000    0.000    0.000    0.000 enum.py:1414(_missing_)
      262    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
        1    0.000    0.000    0.004    0.004 shutil.py:1(<module>)
      477    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
        1    0.000    0.000    0.000    0.000 element.py:347(PageElement)
        1    0.000    0.000    0.000    0.000 element.py:1578(Tag)
        6    0.000    0.000    0.000    0.000 enum.py:513(__prepare__)
       62    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
        1    0.000    0.000    0.001    0.001 _status_codes.py:1(<module>)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
       87    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
      118    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       27    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
        1    0.000    0.000    0.016    0.016 <frozen ntpath>:1(<module>)
      308    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
      103    0.000    0.000    0.000    0.000 enum.py:202(__get__)
    16/12    0.000    0.000    0.271    0.023 {built-in method builtins.__import__}
