"id","created_at","job","interview","alternate_url"
"124714560","2025-09-01T14:10:18+0300","Assistant Marketing Analyst",false,"https://hh.ru/vacancy/124714560"
"124719249","2025-09-01T15:14:35+0300","Middle Data Engineer",false,"https://hh.ru/vacancy/124719249"
"124072086","2025-09-01T14:25:35+0300","Backend Python разработчик (Middle+/Senior)",false,"https://hh.ru/vacancy/124072086"
"124707776","2025-09-01T12:28:28+0300","Data Scientist",false,"https://hh.ru/vacancy/124707776"
"121438420","2025-08-20T08:04:02+0300","ИТ Директор",false,"https://hh.ru/vacancy/121438420"
"124431884","2025-08-25T12:12:52+0300","System Analyst / Системный аналитик (iGaming)",false,"https://hh.ru/vacancy/124431884"
"123975380","2025-08-12T16:09:25+0300","Программист Java",false,"https://hh.ru/vacancy/123975380"
"123980401","2025-08-12T17:48:54+0300","Аналитик данных",false,"https://hh.ru/vacancy/123980401"
"124192141","2025-08-18T18:29:39+0300","Middle L2 Support Engineer",false,"https://hh.ru/vacancy/124192141"
"124606195","2025-08-28T18:06:55+0300","Менеджер документооборота",false,"https://hh.ru/vacancy/124606195"
"124713307","2025-09-01T13:55:30+0300","Junior Data Analyst/Аналитик данных",false,"https://hh.ru/vacancy/124713307"
"124596671","2025-08-28T14:53:26+0300","Исполнительный директор",false,"https://hh.ru/vacancy/124596671"
"124469102","2025-08-26T07:03:55+0300","Java разработчик (эксплуатация)",false,"https://hh.ru/vacancy/124469102"
"124236441","2025-08-19T15:22:57+0300","Системный аналитик (Проект ""Цессия"")",false,"https://hh.ru/vacancy/124236441"
"124637082","2025-08-29T13:43:31+0300","Разработчик Java",false,"https://hh.ru/vacancy/124637082"
"124667970","2025-08-30T10:01:05+0300","Data engineer (Стажер)",false,"https://hh.ru/vacancy/124667970"
"124531613","2025-08-27T10:18:11+0300","Data Scientist",false,"https://hh.ru/vacancy/124531613"
"123802243","2025-08-08T08:49:33+0300","Администратор стоматологии",false,"https://hh.ru/vacancy/123802243"
